Time,2NDFLO::Des Heat Load [W],2NDFLO:JAKARTA SOEKARNO HATTA ANN CLG 1% CONDNS DB=>MWB:Des Sens Cool Load [W],2NDFLO::Des Heat Mass Flow [kg/s],2NDFLO:JAKARTA SOEKARNO HATTA ANN CLG 1% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,2.076189E+03,0.000000E+00,1.602120E-01
00:20:00,0.000000E+00,2.080148E+03,0.000000E+00,1.605174E-01
00:30:00,0.000000E+00,2.082358E+03,0.000000E+00,1.606877E-01
00:40:00,0.000000E+00,2.083266E+03,0.000000E+00,1.607574E-01
00:50:00,0.000000E+00,2.083059E+03,0.000000E+00,1.607411E-01
01:00:00,0.000000E+00,2.081989E+03,0.000000E+00,1.606581E-01
01:10:00,0.000000E+00,2.082410E+03,0.000000E+00,1.606903E-01
01:20:00,0.000000E+00,2.082359E+03,0.000000E+00,1.606859E-01
01:30:00,0.000000E+00,2.081876E+03,0.000000E+00,1.606484E-01
01:40:00,0.000000E+00,2.081056E+03,0.000000E+00,1.605849E-01
01:50:00,0.000000E+00,2.079946E+03,0.000000E+00,1.604992E-01
02:00:00,0.000000E+00,2.078612E+03,0.000000E+00,1.603962E-01
02:10:00,0.000000E+00,2.077042E+03,0.000000E+00,1.602750E-01
02:20:00,0.000000E+00,2.075269E+03,0.000000E+00,1.601382E-01
02:30:00,0.000000E+00,2.073327E+03,0.000000E+00,1.599884E-01
02:40:00,0.000000E+00,2.071246E+03,0.000000E+00,1.598278E-01
02:50:00,0.000000E+00,2.069040E+03,0.000000E+00,1.596576E-01
03:00:00,0.000000E+00,2.066738E+03,0.000000E+00,1.594799E-01
03:10:00,0.000000E+00,2.064297E+03,0.000000E+00,1.592915E-01
03:20:00,0.000000E+00,2.061748E+03,0.000000E+00,1.590949E-01
03:30:00,0.000000E+00,2.059084E+03,0.000000E+00,1.588893E-01
03:40:00,0.000000E+00,2.056325E+03,0.000000E+00,1.586764E-01
03:50:00,0.000000E+00,2.053472E+03,0.000000E+00,1.584563E-01
04:00:00,0.000000E+00,2.050538E+03,0.000000E+00,1.582299E-01
04:10:00,0.000000E+00,2.047575E+03,0.000000E+00,1.580012E-01
04:20:00,0.000000E+00,2.044588E+03,0.000000E+00,1.577707E-01
04:30:00,0.000000E+00,2.041587E+03,0.000000E+00,1.575391E-01
04:40:00,0.000000E+00,2.038576E+03,0.000000E+00,1.573068E-01
04:50:00,0.000000E+00,2.035565E+03,0.000000E+00,1.570745E-01
05:00:00,0.000000E+00,2.032555E+03,0.000000E+00,1.568423E-01
05:10:00,0.000000E+00,2.029691E+03,0.000000E+00,1.566213E-01
05:20:00,0.000000E+00,2.027003E+03,0.000000E+00,1.564139E-01
05:30:00,0.000000E+00,2.024495E+03,0.000000E+00,1.562203E-01
05:40:00,0.000000E+00,2.022175E+03,0.000000E+00,1.560413E-01
05:50:00,0.000000E+00,2.020051E+03,0.000000E+00,1.558775E-01
06:00:00,0.000000E+00,2.018135E+03,0.000000E+00,1.557296E-01
06:10:00,0.000000E+00,2.363423E+03,0.000000E+00,1.903274E-01
06:20:00,0.000000E+00,2.464589E+03,0.000000E+00,2.072529E-01
06:30:00,0.000000E+00,2.735189E+03,0.000000E+00,2.407828E-01
06:40:00,0.000000E+00,2.976500E+03,0.000000E+00,2.714401E-01
06:50:00,0.000000E+00,3.220435E+03,0.000000E+00,3.023474E-01
07:00:00,0.000000E+00,3.469277E+03,0.000000E+00,3.337282E-01
07:10:00,0.000000E+00,3.375682E+03,0.000000E+00,3.308230E-01
07:20:00,0.000000E+00,3.530062E+03,0.000000E+00,3.459613E-01
07:30:00,0.000000E+00,3.517667E+03,0.000000E+00,3.447491E-01
07:40:00,0.000000E+00,3.536367E+03,0.000000E+00,3.465796E-01
07:50:00,0.000000E+00,3.553607E+03,0.000000E+00,3.482677E-01
08:00:00,0.000000E+00,3.566599E+03,0.000000E+00,3.495404E-01
08:10:00,0.000000E+00,3.575825E+03,0.000000E+00,3.504443E-01
08:20:00,0.000000E+00,3.582424E+03,0.000000E+00,3.510908E-01
08:30:00,0.000000E+00,3.587398E+03,0.000000E+00,3.515780E-01
08:40:00,0.000000E+00,3.591349E+03,0.000000E+00,3.519651E-01
08:50:00,0.000000E+00,3.593313E+03,0.000000E+00,3.521574E-01
09:00:00,0.000000E+00,3.592939E+03,0.000000E+00,3.521206E-01
09:10:00,0.000000E+00,3.589264E+03,0.000000E+00,3.517603E-01
09:20:00,0.000000E+00,3.581292E+03,0.000000E+00,3.509789E-01
09:30:00,0.000000E+00,3.568656E+03,0.000000E+00,3.497404E-01
09:40:00,0.000000E+00,3.551029E+03,0.000000E+00,3.480127E-01
09:50:00,0.000000E+00,3.529739E+03,0.000000E+00,3.459261E-01
10:00:00,0.000000E+00,3.505516E+03,0.000000E+00,3.435519E-01
10:10:00,0.000000E+00,3.479189E+03,0.000000E+00,3.409717E-01
10:20:00,0.000000E+00,3.451996E+03,0.000000E+00,3.383067E-01
10:30:00,0.000000E+00,3.425234E+03,0.000000E+00,3.356838E-01
10:40:00,0.000000E+00,3.400416E+03,0.000000E+00,3.332517E-01
10:50:00,0.000000E+00,3.378761E+03,0.000000E+00,3.311295E-01
11:00:00,0.000000E+00,3.361246E+03,0.000000E+00,3.294132E-01
11:10:00,0.000000E+00,3.347900E+03,0.000000E+00,3.281054E-01
11:20:00,0.000000E+00,3.338621E+03,0.000000E+00,3.271963E-01
11:30:00,0.000000E+00,3.332872E+03,0.000000E+00,3.266330E-01
11:40:00,0.000000E+00,3.329913E+03,0.000000E+00,3.263433E-01
11:50:00,0.000000E+00,3.328882E+03,0.000000E+00,3.262424E-01
12:00:00,0.000000E+00,3.329096E+03,0.000000E+00,3.262635E-01
12:10:00,0.000000E+00,3.330341E+03,0.000000E+00,3.263856E-01
12:20:00,0.000000E+00,3.332283E+03,0.000000E+00,3.265761E-01
12:30:00,0.000000E+00,3.334744E+03,0.000000E+00,3.268172E-01
12:40:00,0.000000E+00,3.337581E+03,0.000000E+00,3.270954E-01
12:50:00,0.000000E+00,3.340783E+03,0.000000E+00,3.274092E-01
13:00:00,0.000000E+00,3.344306E+03,0.000000E+00,3.277544E-01
13:10:00,0.000000E+00,3.348308E+03,0.000000E+00,3.281467E-01
13:20:00,0.000000E+00,3.353619E+03,0.000000E+00,3.286672E-01
13:30:00,0.000000E+00,3.361368E+03,0.000000E+00,3.294265E-01
13:40:00,0.000000E+00,3.372763E+03,0.000000E+00,3.305433E-01
13:50:00,0.000000E+00,3.388775E+03,0.000000E+00,3.321127E-01
14:00:00,0.000000E+00,3.410307E+03,0.000000E+00,3.342231E-01
14:10:00,0.000000E+00,3.437591E+03,0.000000E+00,3.368971E-01
14:20:00,0.000000E+00,3.470237E+03,0.000000E+00,3.400967E-01
14:30:00,0.000000E+00,3.507205E+03,0.000000E+00,3.437198E-01
14:40:00,0.000000E+00,3.547236E+03,0.000000E+00,3.476431E-01
14:50:00,0.000000E+00,3.589087E+03,0.000000E+00,3.517447E-01
15:00:00,0.000000E+00,3.631487E+03,0.000000E+00,3.559000E-01
15:10:00,0.000000E+00,3.673929E+03,0.000000E+00,3.600594E-01
15:20:00,0.000000E+00,3.714117E+03,0.000000E+00,3.639978E-01
15:30:00,0.000000E+00,3.751175E+03,0.000000E+00,3.676295E-01
15:40:00,0.000000E+00,3.784400E+03,0.000000E+00,3.708853E-01
15:50:00,0.000000E+00,3.813588E+03,0.000000E+00,3.737455E-01
16:00:00,0.000000E+00,3.839356E+03,0.000000E+00,3.762705E-01
16:10:00,0.000000E+00,3.861373E+03,0.000000E+00,3.784280E-01
16:20:00,0.000000E+00,3.880686E+03,0.000000E+00,3.803204E-01
16:30:00,0.000000E+00,3.897458E+03,0.000000E+00,3.819640E-01
16:40:00,0.000000E+00,3.911136E+03,0.000000E+00,3.833042E-01
16:50:00,0.000000E+00,3.919783E+03,0.000000E+00,3.841514E-01
17:00:00,0.000000E+00,3.921040E+03,0.000000E+00,3.842744E-01
17:10:00,0.000000E+00,3.913062E+03,0.000000E+00,3.834923E-01
17:20:00,0.000000E+00,3.893757E+03,0.000000E+00,3.816000E-01
17:30:00,0.000000E+00,3.861304E+03,0.000000E+00,3.784191E-01
17:40:00,0.000000E+00,3.811912E+03,0.000000E+00,3.735781E-01
17:50:00,0.000000E+00,3.747420E+03,0.000000E+00,3.672572E-01
18:00:00,0.000000E+00,3.673578E+03,0.000000E+00,3.600200E-01
18:10:00,0.000000E+00,3.598265E+03,0.000000E+00,3.526388E-01
18:20:00,0.000000E+00,3.526444E+03,0.000000E+00,3.456001E-01
18:30:00,0.000000E+00,3.461131E+03,0.000000E+00,3.391994E-01
18:40:00,0.000000E+00,3.408283E+03,0.000000E+00,3.340205E-01
18:50:00,0.000000E+00,3.368795E+03,0.000000E+00,3.301510E-01
19:00:00,0.000000E+00,3.339392E+03,0.000000E+00,3.272701E-01
19:10:00,0.000000E+00,3.314861E+03,0.000000E+00,3.248666E-01
19:20:00,0.000000E+00,3.293379E+03,0.000000E+00,3.227618E-01
19:30:00,0.000000E+00,3.274492E+03,0.000000E+00,3.209111E-01
19:40:00,0.000000E+00,3.257486E+03,0.000000E+00,3.192447E-01
19:50:00,0.000000E+00,3.242042E+03,0.000000E+00,3.177314E-01
20:00:00,0.000000E+00,3.227774E+03,0.000000E+00,3.163333E-01
20:10:00,0.000000E+00,3.214445E+03,0.000000E+00,3.150272E-01
20:20:00,0.000000E+00,3.201837E+03,0.000000E+00,3.137917E-01
20:30:00,0.000000E+00,3.189859E+03,0.000000E+00,3.126179E-01
20:40:00,0.000000E+00,3.178364E+03,0.000000E+00,3.114914E-01
20:50:00,0.000000E+00,3.167309E+03,0.000000E+00,3.104081E-01
21:00:00,0.000000E+00,3.156625E+03,0.000000E+00,3.093611E-01
21:10:00,0.000000E+00,3.146210E+03,0.000000E+00,3.083404E-01
21:20:00,0.000000E+00,3.136011E+03,0.000000E+00,3.073410E-01
21:30:00,0.000000E+00,3.126008E+03,0.000000E+00,3.063607E-01
21:40:00,0.000000E+00,3.116166E+03,0.000000E+00,3.053962E-01
21:50:00,0.000000E+00,3.106470E+03,0.000000E+00,3.044460E-01
22:00:00,0.000000E+00,3.096894E+03,0.000000E+00,3.035076E-01
22:10:00,0.000000E+00,2.791817E+03,0.000000E+00,2.692141E-01
22:20:00,0.000000E+00,2.577100E+03,0.000000E+00,2.420933E-01
22:30:00,0.000000E+00,2.367326E+03,0.000000E+00,2.151391E-01
22:40:00,0.000000E+00,2.173847E+03,0.000000E+00,1.894706E-01
22:50:00,0.000000E+00,1.992905E+03,0.000000E+00,1.648018E-01
23:00:00,0.000000E+00,1.817784E+03,0.000000E+00,1.406149E-01
23:10:00,0.000000E+00,1.943211E+03,0.000000E+00,1.502070E-01
23:20:00,0.000000E+00,1.982328E+03,0.000000E+00,1.529728E-01
23:30:00,0.000000E+00,2.020085E+03,0.000000E+00,1.558818E-01
23:40:00,0.000000E+00,2.044507E+03,0.000000E+00,1.577665E-01
23:50:00,0.000000E+00,2.059072E+03,0.000000E+00,1.588909E-01
24:00:00,0.000000E+00,2.070115E+03,0.000000E+00,1.597433E-01
Peak,0.000000E+00,3.921040E+03,0.000000E+00,3.842744E-01

Peak Vol Flow (m3/s),,,0.000000E+00,3.194615E-01
